objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,archive_link,image_small,image_thumb,filename,filename_original,thumbs_to_process,thumbs_new_filename
wolf_001,Draft Gray Wolf Management Plan 2023-2028: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Draft Gray Wolf Management Plan 2023-2028.,wildlife management; hunting; trapping; idaho department of fish and game,"Boise, Idaho",43.618881,-116.215019,Idaho Official Government Website,,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/draft_2023_idfg_wolf_management_plan.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/draft_2023_idfg_wolf_management_plan_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/draft_2023_idfg_wolf_management_plan_th.jpg,draft_2023_idfg_wolf_management_plan.pdf,DRAFT 2023 IDFG Wolf Management Plan.pdf,,
wolf_002,Can Large Carnivores Change Streams via a Trophic Cascade?,"Beschta, Robert L., and William J. Ripple.",2019,Article about the effects of removing large carnivores from ecosystems.,reintroduction; ecosystem,"Blacktail Deer Creek, Montana",45.2313108,-112.6339091,"Ecohydrology, vol. 12, no. 1 ",,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/ecohydrology_2018_beschta.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/ecohydrology_2018_beschta_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/ecohydrology_2018_beschta_th.jpg,ecohydrology_2018_beschta.pdf,Ecohydrology - 2018 - Beschta - Can large carnivores change streams via a trophic cascade.pdf,,
wolf_003,Wolves Finding Their Niche in the River of No Return Wilderness,"Brannon, Louise",1995,Article about the first wolves reintroduced in Idaho.,reintroduction; ecosystem,"Corn Creek, Idaho",45.3682485,-114.6862068,Frankly Speaking: Biannual Report of the Frank Church - River of No Return Wilderness,,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/frankly_speaking_1995.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/frankly_speaking_1995_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/frankly_speaking_1995_th.jpg,frankly_speaking_1995.pdf,Frankly Speaking (1995).pdf,,
wolf_004,What’s All the Howling about?,"White, Craig",2010,Wolf impacts in Lolo region.,wildlife management; predation,"Lolo Pass, Idaho",46.6351985,-114.5798362,"Idaho Official Government Website, https://idfg.idaho.gov/sites/default/files/old-web/docs/wolves/articleHowling.pdf",,,application/pdf,eng,,,pdf,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/howling_about.pdf,,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/howling_about_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/howling_about_th.jpg,howling_about.pdf,Howling about.pdf,,
wolf_005,Infographic: Wolves Keep Yellowstone in the Balance,Earthjustice,2015-02-02,Infographic about gray wolf extermination from Yellowstone and ecosystem collapse known as trophic cascade.,ecosystem; yellowstone national park; trophic cascade; extermination,"Yellowstone National Park, Wyoming",44.428,110.5885,"Earthjustice, https://earthjustice.org/features/infographic-wolves-keep-yellowstone-in-the-balance",,,record,eng,,,record,https://earthjustice.org/features/infographic-wolves-keep-yellowstone-in-the-balance,https://perma.cc/L9MC-RBWL,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/infographic-wolves_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/infographic-wolves_th.jpg,,,infographic-wolves.jpg,infographic-wolves.jpg
wolf_006,The Foundation for Wildlife Management: Ensuring Ungulate Populations Recover in Areas Negatively Impacted by Wolves,The Foundation for Wildlife Management,2023,The Foundation for Wildlife Management's mission statement about ungulate population recovery.,wildlife management; hunting; trapping,"Ponderay, Idaho",48.3055,116.5338,"Foundation for Wildlife Management, https://f4wm.org/",,,record,eng,,,record,https://f4wm.org/,https://perma.cc/PY2M-Y8JQ,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/f4wm_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/f4wm_th.jpg,,,f4wm.jpg,f4wm.jpg
wolf_007,The Rocky Mountain Elk Foundation Is Funding a $1000 'Bounty' per Trapped and Killed Wolf in Idaho,"Koehler, Matthew",2020-09-11,Article from The Smokey Wire : National Forest News and Views.,trapping; wildlife management; bounty; outfitter,"Grant Creek, Montana",46.8929788,-114.0895564,"“The Rocky Mountain Elk Foundation Is Funding a $1000 'Bounty' per Trapped and Killed Wolf in Idaho.” The Smokey Wire : National Forest News and Views, https://forestpolicypub.com/2019/01/25/rmef-funding-a-1000-bounty-per-trapped-and-killed-wolf-in-idaho/",,,record,eng,,,record,https://forestpolicypub.com/2019/01/25/rmef-funding-a-1000-bounty-per-trapped-and-killed-wolf-in-idaho/,https://perma.cc/2VGL-MDG3,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/the_smokey_wire_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/the_smokey_wire_th.jpg,,,The Smokey Wire.jpg,the_smokey_wire.jpg
wolf_008,Is There a Difference between a Idaho Grey Wolf and a Northern Canadian Wolf,"Phillips, Roger",2018-09-26,Q & A with Idaho Department of Fish & Game.,biology; regions; idaho department of fish and game,"Boise, Idaho",43.618881,-116.215019,"Idaho Official Government Website, https://idfg.idaho.gov/d7/question/there-difference-between-idaho-grey-wolf-and-northern-canadian-wolf",,,record,eng,,,record,https://idfg.idaho.gov/d7/question/there-difference-between-idaho-grey-wolf-and-northern-canadian-wolf,https://perma.cc/9KRW-5K58,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/ask_idfg_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/ask_idfg_th.jpg,,,Ask IDFG.jpg,ask_idfg.jpg
wolf_009,Clearwater Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Clearwater Region.,regions,"Clearwater River, Idaho",46.4932,-116.3248,"Idaho Official Government Website, https://idfg.idaho.gov/region/clearwater",,,record,eng,,,record,https://idfg.idaho.gov/region/clearwater,https://perma.cc/MS6Z-FLDA,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/clearwater_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/clearwater_th.jpg,,,Clearwater.jpg,clearwater.jpg
wolf_010,Magic Valley Region: Idaho Fish and Game,Idaho Department of Fish and Game,2023,Description of Magic Valley Region.,regions,"Jerome, Idaho",42.7241,-114.5187,"Idaho Official Government Website, https://idfg.idaho.gov/region/magic-valley",,,record,eng,,,record,https://idfg.idaho.gov/region/magic-valley,https://perma.cc/K2W6-7T7Z,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/small/magic_valley_sm.jpg,https://cdil.lib.uidaho.edu/wolf-reintroduction/objects/thumbs/magic_valley_th.jpg,,,Magic Valley.jpeg,magic_valley.jpeg
